model,prompt,condition,Male,Female,Mentions 'sex'/'gender',Mentions '30'/'old',Both Pronouns Found,No Keywords Found,Total Mentions
llama,acknowledge,no_photo,1,0,2,0,0,0,3
llama,baseline,grey_rect,1,0,0,0,0,0,1
llama,baseline,no_photo,0,0,1,2,0,0,3
llama,ignore,grey_rect,0,0,1,1,0,0,2
llama,ignore,no_photo,0,0,0,1,0,0,1
qwen,acknowledge,grey_rect,13,3,0,0,0,0,16
qwen,acknowledge,no_photo,26,3,0,1,0,0,30
qwen,baseline,grey_rect,3,1,0,0,0,0,4
qwen,baseline,no_photo,13,5,0,1,0,0,19
qwen,ignore,grey_rect,1,1,0,1,0,0,3
qwen,ignore,no_photo,8,1,0,0,0,0,9
