model,prompt,condition,mentions_race,mentions_gender,mentions_gender_strict
llama,acknowledge,grey_rect,0.0,0.0,0.0
llama,acknowledge,no_photo,0.0,0.5128205128205128,0.5128205128205128
llama,baseline,grey_rect,0.0,0.43103448275862066,0.43103448275862066
llama,baseline,no_photo,0.0,0.5235602094240838,0.17452006980802792
llama,ignore,grey_rect,0.0,0.904977375565611,0.4524886877828055
llama,ignore,no_photo,0.0,0.17699115044247787,0.0
qwen,acknowledge,grey_rect,0.0,8.040201005025125,8.040201005025125
qwen,acknowledge,no_photo,0.0,5.964214711729622,5.7654075546719685
qwen,baseline,grey_rect,0.0,2.1739130434782608,2.1739130434782608
qwen,baseline,no_photo,0.0,3.8229376257545273,3.6217303822937628
qwen,ignore,grey_rect,0.0,1.5706806282722512,1.0471204188481675
qwen,ignore,no_photo,0.0,1.8947368421052633,1.8947368421052633
